Dates,Portolfio,Benchmark 
8/29/2021,183.68,145.6539537
8/30/2021,181.98,146.0960017
8/31/2021,182.85,145.9460767
9/1/2021,185.13,145.9993558
9/2/2021,185.44,146.3091781
9/3/2021,186.53,146.280222
9/4/2021,187.97,146.280222
9/5/2021,189.32,146.280222
9/6/2021,189.28,146.280222
9/7/2021,189.24,145.9229929
9/8/2021,189.2,145.8018748
9/9/2021,190.16,145.3750218
9/10/2021,191.12,144.5858558
9/11/2021,190.55,144.5858558
9/12/2021,191.69,144.5858558
9/13/2021,190.54,144.8411833
9/14/2021,191.76,144.302443
9/15/2021,192.98,145.1395515
9/16/2021,191.54,144.978403
9/17/2021,189.46,144.0050599
9/18/2021,187.87,144.0050599
9/19/2021,187.03,144.0050599
9/20/2021,186.19,142.3405335
9/21/2021,184.75,142.2450993
9/22/2021,188.87,143.2204638
9/23/2021,189.82,144.4353613
9/24/2021,188.67,144.5976989
9/25/2021,187.3,144.5976989
9/26/2021,187.33,144.5976989
9/27/2021,186.52,144.3128406
9/28/2021,184.52,142.29836
9/29/2021,184.7,142.4642391
9/30/2021,186.58,141.2447881
10/1/2021,191.46,142.4335709
10/2/2021,196.5,142.4335709
10/3/2021,197.25,142.4335709
10/4/2021,195.93,141.1432807
10/5/2021,197.64,142.1808678
10/6/2021,198.69,142.5986881
10/7/2021,198.75,143.4609299
10/8/2021,198.68,143.2820035
10/9/2021,199.43,143.2820035
10/10/2021,200.18,143.2820035
10/11/2021,200.18,142.5550567
10/12/2021,200.18,142.3092948
10/13/2021,200.18,142.671304
10/14/2021,200.82,144.3545864
10/15/2021,200.82,145.1133192
10/16/2021,202.2,145.1133192
10/17/2021,202.27,145.1133192
10/18/2021,202.91,145.4115931
10/19/2021,204.39,146.1818739
10/20/2021,206.12,146.5737462
10/21/2021,204.56,146.8339746
10/22/2021,204.56,146.7330373
10/23/2021,202.84,146.7330373
10/24/2021,202.31,146.7330373
10/25/2021,203.53,147.267102
10/26/2021,203.53,147.3580329
10/27/2021,200.51,146.9133547
10/28/2021,203.13,147.8787262
10/29/2021,206.44,148.0832738
10/30/2021,209.41,148.0832738
10/31/2021,209.41,148.0832738
11/1/2021,209.41,148.2541734
11/2/2021,209.78,148.6569979
11/3/2021,210.29,149.2706106
11/4/2021,209.27,149.7397418
11/5/2021,209.27,150.0899473
11/6/2021,209.64,150.0899473
11/7/2021,210.44,150.0899473
11/8/2021,210.44,150.1737033
11/9/2021,210.83,149.8436089
11/10/2021,208.39,149.0366306
11/11/2021,209.29,149.0695486
11/12/2021,209.91,149.826412
11/13/2021,211.21,149.826412
11/14/2021,211.73,149.826412
11/15/2021,210.47,149.859072
11/16/2021,209.21,150.2555272
11/17/2021,208.41,150.0139476
11/18/2021,208.41,150.3539094
11/19/2021,205.49,150.1729014
11/20/2021,203.95,150.1729014
11/21/2021,203.42,150.1729014
11/22/2021,200.2,149.8892728
