Dates,Portolfio,Benchmark ,,,
6/15/2021,191.15,199.4077896,,,
6/16/2021,189.96,197.9344139,,,
6/17/2021,187.39,195.5706211,,,
6/18/2021,186.45,195.1359337,,,
6/19/2021,182.76,190.5195307,,,
6/20/2021,178.53,186.5597165,,,
6/21/2021,179.05,188.5009549,,,
6/22/2021,174.17,183.2126492,,,
6/23/2021,174.65,184.1987219,,,
6/24/2021,176.46,186.5218873,,,
6/25/2021,177.58,188.1732977,,,
6/26/2021,177.11,187.9892597,,,
6/27/2021,176.98,186.3213753,,,
6/28/2021,178.33,184.6195531,,,
6/29/2021,178.36,185.756975,,,
6/30/2021,179.67,188.5134157,,,
7/1/2021,179.71,187.6914572,,,
7/2/2021,178.39,186.5506163,,,
7/3/2021,177.14,184.8429998,,,
7/4/2021,176.52,184.9418931,,,
7/5/2021,177.08,185.2236978,,,
7/6/2021,176.06,185.1554172,,,
7/7/2021,176.03,183.8686761,,,
7/8/2021,175.62,184.703007,,,
7/9/2021,173.68,185.4549827,,,
7/10/2021,173.27,184.4277759,,,
7/11/2021,172.55,185.0029629,,,
7/12/2021,172.99,184.6104576,,,
7/13/2021,172.2,184.5282638,,,
7/14/2021,171.63,186.0023401,,,
7/15/2021,171.7,185.6146418,,,
7/16/2021,171.77,186.2698173,,,
7/17/2021,169.28,184.007028,,,
7/18/2021,166.82,182.0568158,,,
7/19/2021,167.01,183.7634891,,,
7/20/2021,165.26,183.2287981,,,
7/21/2021,164.86,182.1638653,,,
7/22/2021,167.68,186.3760066,,,
7/23/2021,167.89,186.4521286,,,
7/24/2021,168.4,185.1154214,,,
7/25/2021,169.34,185.2468519,,,
7/26/2021,169.7,186.9373332,,,
7/27/2021,170.03,188.3271697,,,
7/28/2021,170.69,186.8626582,,,
7/29/2021,171.8,187.157944,,,
7/30/2021,172.36,188.8883667,,,
7/31/2021,173.15,189.9353341,,,
8/1/2021,174.14,189.8866452,,,
8/2/2021,173.42,187.6325626,,,
8/3/2021,173.57,188.7689014,,,
8/4/2021,173.19,188.3681677,,,
8/5/2021,174.33,187.9115383,,,
8/6/2021,175.47,188.470709,,,
8/7/2021,176.13,189.4802165,,,
8/8/2021,178.19,189.7738616,,,
8/9/2021,176.4,188.7190969,,,
8/10/2021,178.71,191.4902724,,,
8/11/2021,178.59,190.2104825,,,
8/12/2021,179.53,193.135692,,,
8/13/2021,178.2,190.8473713,,,
8/14/2021,179.41,191.4658441,,,
8/15/2021,180.68,193.5839057,,,
8/16/2021,181.15,192.9822161,,,
8/17/2021,179.32,191.4167347,,,
8/18/2021,177.1,191.0907347,,,
8/19/2021,177.41,191.4243813,,,
8/20/2021,178.04,192.7806398,,,
8/21/2021,180.35,194.5688684,,,
8/22/2021,182.17,194.90846,,,
8/23/2021,182.7,196.8264308,,,
8/24/2021,185.74,201.1475328,,,
8/25/2021,185.48,200.2061116,,,
8/26/2021,186.8,201.5902017,,,
8/27/2021,184.17,199.7382403,,,
8/28/2021,184.14,199.6295989,,,
8/29/2021,183.82,200.1709929,,,
8/30/2021,183.68,200.3389336,,,
8/31/2021,181.98,198.3772069,,,
9/1/2021,182.85,199.4771985,,,
9/2/2021,185.13,201.7274489,,,
9/3/2021,185.44,201.0912684,,,
9/4/2021,186.53,200.5904968,,,
9/5/2021,187.97,201.9577456,,,
9/6/2021,189.32,203.5124644,,,
9/7/2021,189.28,204.1082301,,,
9/8/2021,189.24,205.3309063,,,
9/9/2021,189.2,206.4726381,,,
9/10/2021,190.16,207.0159884,,,
9/11/2021,191.12,208.5793643,,,
9/12/2021,190.55,207.4017276,,,
9/13/2021,191.69,208.5924321,,,
9/14/2021,190.54,206.1589951,,,
9/15/2021,191.76,205.8275201,,,
9/16/2021,192.98,207.8879171,,,
9/17/2021,191.54,206.551077,,,
9/18/2021,189.46,204.6861065,,,
9/19/2021,187.87,203.8744581,,,
9/20/2021,187.03,202.5815589,,,
9/21/2021,186.19,202.4226814,,,
9/22/2021,184.75,202.2345431,,,
9/23/2021,188.87,205.1253575,,,
9/24/2021,189.82,205.5814934,,,
9/25/2021,188.67,204.8712813,,,
9/26/2021,187.3,204.0261374,,,
9/27/2021,187.33,203.8170009,,,
9/28/2021,186.52,203.9016149,,,
9/29/2021,184.52,202.182071,,,
9/30/2021,184.7,204.2785361,,,
10/1/2021,186.58,206.9017273,,,
10/2/2021,191.46,212.96808,,,
10/3/2021,196.5,218.4361091,,,
10/4/2021,197.25,220.0091208,,,
10/5/2021,195.93,218.5009344,,,
10/6/2021,197.64,220.8033208,,,
10/7/2021,198.69,223.3901127,,,
10/8/2021,198.75,221.4871009,,,
10/9/2021,198.68,222.5100888,,,
10/10/2021,199.43,224.6819089,,,
10/11/2021,200.18,224.5082665,,,
10/12/2021,200.18,223.3962719,,,
10/13/2021,200.18,222.7261144,,,
10/14/2021,200.18,224.4759553,,,
10/15/2021,200.82,223.7123703,,,
10/16/2021,200.82,222.969951,,,
10/17/2021,202.2,224.6897596,,,
10/18/2021,202.27,226.5965095,,,
10/19/2021,202.91,226.6882435,,,
10/20/2021,204.39,228.1898674,,,
10/21/2021,206.12,229.9079239,,,
10/22/2021,204.56,228.5297501,,,
10/23/2021,204.56,227.6390621,,,
10/24/2021,202.84,224.6404152,,,
10/25/2021,202.31,222.4175689,,,
10/26/2021,203.53,222.1845348,,,
10/27/2021,203.53,222.1273752,,,
10/28/2021,200.51,218.8148975,,,
10/29/2021,203.13,221.5294241,,,
10/30/2021,206.44,224.1350285,,,
10/31/2021,209.41,227.7654483,,,
11/1/2021,209.41,226.3473096,,,
11/2/2021,209.41,226.8738712,,,
11/3/2021,209.78,227.5705646,,,
11/4/2021,210.29,229.0465997,,,
11/5/2021,209.27,229.6462631,,,
11/6/2021,209.27,231.4732951,,,
11/7/2021,209.64,232.5545778,,,
11/8/2021,210.44,235.0954326,,,
11/9/2021,210.44,234.4330601,,,
11/10/2021,210.83,234.1803878,,,
11/11/2021,208.39,231.580862,,,
11/12/2021,209.29,233.5466796,,,
11/13/2021,209.91,233.8633701,,,
11/14/2021,211.21,234.4926414,,,
11/15/2021,211.73,234.9244165,,,
11/16/2021,210.47,232.6437877,,,
11/17/2021,209.21,230.4689702,,,
11/18/2021,208.41,229.7884532,,,
11/19/2021,208.41,228.473436,,,
11/20/2021,205.49,224.73355,,,
11/21/2021,203.95,223.0342977,,,
11/22/2021,203.42,223.1229372,,,
11/23/2021,200.2,218.5583725,,,
11/24/2021,200.2,220.0161177,,,
11/25/2021,200.37,220.2639012,,,
11/26/2021,202.7,222.6791914,,,
11/27/2021,199.38,219.0516733,,,
11/28/2021,196.63,216.7253874,,,
11/29/2021,196.63,217.3334353,,,
11/30/2021,197.37,218.0118931,,,
12/1/2021,196.35,217.7058109,,,
12/2/2021,194.89,216.1799619,,,
12/3/2021,194.98,215.8050814,,,
12/4/2021,194.98,215.2505315,,,
12/5/2021,186.43,206.4254473,,,
12/6/2021,185.39,205.2184418,,,
12/7/2021,188.84,209.8086444,,,
12/8/2021,188.84,210.8483078,,,
12/9/2021,188.84,211.4813385,,,
12/10/2021,188.84,211.3987446,,,
12/11/2021,188.84,210.4920727,,,
12/12/2021,188.84,212.9546265,,,
12/13/2021,188.84,211.5742856,,,
12/14/2021,188.84,209.8310717,,,
12/15/2021,189,209.5886015,,,
12/16/2021,191.58,212.2922805,,,
12/17/2021,188.35,209.8949903,,,
12/18/2021,188.35,210.5604611,,,
12/19/2021,185.8,207.0060935,,,
12/20/2021,184.96,205.2449135,,,
12/21/2021,184.02,203.9738419,,,
12/22/2021,188.52,210.0692937,,,
12/23/2021,189.87,212.0440275,,,
12/24/2021,192.97,215.4113525,,,
12/25/2021,192.97,215.9878641,,,
12/26/2021,195.8,219.1815576,,,
12/27/2021,196.32,220.1115435,,,
12/28/2021,197.31,221.1794018,,,
12/29/2021,193.47,218.3613197,,,
12/30/2021,191.5,216.1515244,,,
12/31/2021,193.42,217.7907182,,,
1/1/2022,193.42,217.5958891,,,
1/2/2022,195.58,219.95235,,,
1/3/2022,195.81,221.4474776,,,
1/4/2022,195.41,220.7120472,,,
1/5/2022,193.03,220.5320484,,,
1/6/2022,187.39,212.7727453,,,
1/7/2022,188.16,212.0653932,,,
1/8/2022,188.16,213.6566449,,,
1/9/2022,184.92,211.2510618,,,
1/10/2022,185.51,212.3939193,,,
1/11/2022,183.53,210.8651306,,,
1/12/2022,187.33,215.4555854,,,
1/13/2022,189.95,216.7246048,,,
1/14/2022,186.76,213.4713398,,,
1/15/2022,184.67,212.1605397,,,
1/16/2022,182.69,211.1226034,,,
1/17/2022,183.38,211.4238487,,,
1/18/2022,181.55,208.2276321,,,
1/19/2022,179.8,207.5307941,,,
1/20/2022,178.59,205.402809,,,
1/21/2022,177.02,201.9111007,,,
1/22/2022,167.56,191.9345882,,,
1/23/2022,167.56,193.622828,,,
1/24/2022,169.68,195.7140084,,,
1/25/2022,168.35,194.1343559,,,
1/26/2022,167.56,194.2986141,,,
1/27/2022,166.28,193.2610311,,,
1/28/2022,164.94,191.9694113,,,
1/29/2022,165.82,192.0991691,,,
1/30/2022,167.91,197.1771591,,,
1/31/2022,167.91,197.5705157,,,
2/1/2022,167.91,197.5143711,,,
2/2/2022,167.91,199.0742259,,,
2/3/2022,165.05,198.5468175,,,
2/4/2022,162.88,195.6884358,,,
2/5/2022,162.88,193.773936,,,
2/6/2022,167.65,197.2562009,,,
2/7/2022,167.65,197.737058,,,
2/8/2022,169.22,200.3290478,,,
2/9/2022,170.54,201.5008988,,,
2/10/2022,173.14,204.3236647,,,
2/11/2022,175.74,208.1262416,,,
2/12/2022,175.74,206.7256874,,,
2/13/2022,168.96,200.4241415,,,
2/14/2022,162.25,195.6544148,,,
2/15/2022,161.54,196.5412517,,,
2/16/2022,161.95,198.2308144,,,
2/17/2022,168.16,205.3532572,,,
2/18/2022,163.09,199.2796678,,,
2/19/2022,158.42,193.6920303,,,
2/20/2022,150.84,185.3936941,,,
2/21/2022,143.16,177.4506126,,,
2/22/2022,140.63,173.9053232,,,
2/23/2022,137.8,170.6534472,,,
2/24/2022,134.97,168.3755617,,,
2/25/2022,132.07,166.9222857,,,
2/26/2022,134.07,168.1135083,,,
2/27/2022,138.73,172.1891304,,,
2/28/2022,143.39,176.0285362,,,
3/1/2022,141.44,173.1168931,,,
3/2/2022,146.87,178.8492091,,,
3/3/2022,148.01,180.8289395,,,
3/4/2022,147.53,179.921752,,,
3/5/2022,144.88,175.9865092,,,
3/6/2022,136.91,169.1176135,,,
3/7/2022,129.84,162.0863104,,,
3/8/2022,128.1,160.4201694,,,
3/9/2022,124.98,156.4191313,,,
3/10/2022,125.47,158.1896018,,,
3/11/2022,131.16,163.8629505,,,
3/12/2022,127.34,159.7538154,,,
3/13/2022,120.55,151.4167362,,,
3/14/2022,113.85,145.3247701,,,
3/15/2022,112.43,143.4057417,,,
3/16/2022,112.07,142.1112494,,,
